symbol_x,symbol_y,mean_ratio,std_ratio,pct_inversion
BTC,LTC,454.8211,246.8556,0.0
BTC,MATIC,135136.3711,281757.3766,0.0
BTC,SAND,117840.5083,133410.6051,0.0
BTC,SOL,1561.2685,2750.9484,0.0
BTC,UNI,4836.9586,2298.7772,0.0
BTC,XLM,278886.079,171120.1614,0.0
DOT,AAVE,0.0796,0.0285,1.0
DOT,ADA,17.9482,7.8377,0.0
DOT,AVAX,0.507,0.4281,0.8172
DOT,AXS,2.3588,4.5386,0.7337
DOT,BTC,0.0003,0.0002,1.0
DOT,ETH,0.0056,0.0042,1.0
DOT,FTM,45.4827,80.5161,0.0
DOT,LTC,0.1075,0.0453,1.0
DOT,MATIC,43.9928,93.7183,0.0
DOT,SAND,31.0662,44.5628,0.0
DOT,SOL,0.5212,0.9311,0.8796
DOT,UNI,1.1172,0.4023,0.4806
DOT,XLM,63.211,22.1545,0.0
ETH,AAVE,18.8915,8.6562,0.0
ETH,ADA,4205.4447,1903.9314,0.0
ETH,AVAX,96.8045,42.6265,0.0
ETH,AXS,366.4054,367.0756,0.0
ETH,BTC,0.0577,0.0149,1.0
ETH,DOT,274.648,160.8164,0.0
ETH,FTM,6947.3914,7306.1132,0.0
ETH,LTC,24.6629,10.2366,0.0
ETH,MATIC,5333.0502,8363.176,0.0
ETH,SAND,5349.4222,4123.8653,0.0
ETH,SOL,68.8935,80.5218,0.0
ETH,UNI,262.3436,103.7377,0.0
ETH,XLM,15403.7123,7970.8544,0.0
FTM,AAVE,0.0042,0.0026,1.0
FTM,ADA,0.8688,0.4779,0.6301
FTM,AVAX,0.0177,0.006,1.0
FTM,AXS,0.0596,0.0422,1.0
FTM,BTC,0.0,0.0,1.0
FTM,DOT,0.057,0.0373,1.0
FTM,ETH,0.0002,0.0001,1.0
FTM,LTC,0.0057,0.0036,1.0
FTM,MATIC,0.6912,0.4574,0.7618
FTM,SAND,0.9303,0.5947,0.7096
FTM,SOL,0.0104,0.0064,1.0
FTM,UNI,0.0582,0.0362,1.0
FTM,XLM,3.5162,2.2933,0.1612
LTC,AAVE,0.8032,0.3114,0.7509
LTC,ADA,193.2274,119.9003,0.0
LTC,AVAX,5.3893,5.7215,0.0
LTC,AXS,24.8903,50.3303,0.0
LTC,BTC,0.0028,0.0012,1.0
LTC,DOT,11.0057,4.2735,0.0
LTC,ETH,0.0516,0.0319,1.0
LTC,FTM,525.2822,1157.5922,0.0
LTC,MATIC,496.5914,1238.2497,0.0
LTC,SAND,332.8891,561.6222,0.0
LTC,SOL,5.7597,12.3339,0.3175
LTC,UNI,11.3601,4.5326,0.0
LTC,XLM,623.9404,187.7007,0.0
MATIC,AAVE,0.0077,0.0043,1.0
MATIC,ADA,1.5254,0.8568,0.2805
MATIC,AVAX,0.0363,0.0239,1.0
MATIC,AXS,0.0917,0.0603,1.0
MATIC,BTC,0.0,0.0,1.0
MATIC,DOT,0.0947,0.053,1.0
MATIC,ETH,0.0004,0.0002,1.0
MATIC,FTM,2.072,1.2038,0.2381
MATIC,LTC,0.0093,0.0044,1.0
MATIC,SAND,1.4492,0.9293,0.3384
MATIC,SOL,0.022,0.017,1.0
MATIC,UNI,0.1016,0.0543,1.0
MATIC,XLM,6.0368,3.3196,0.1303
SAND,AAVE,0.0058,0.0043,1.0
SAND,ADA,1.1461,0.6854,0.5003
SAND,AVAX,0.0251,0.0142,1.0
SAND,AXS,0.0675,0.0243,1.0
SAND,BTC,0.0,0.0,1.0
SAND,DOT,0.0718,0.0406,1.0
SAND,ETH,0.0003,0.0002,1.0
SAND,FTM,1.5734,0.9968,0.2904
SAND,LTC,0.0075,0.0058,1.0
SAND,MATIC,0.9657,0.6101,0.6616
SAND,SOL,0.0164,0.0118,1.0
SAND,UNI,0.0804,0.0618,1.0
SAND,XLM,4.5387,3.1185,0.1312
SOL,AAVE,0.5769,0.4704,0.8183
SOL,ADA,128.7,121.9149,0.0
SOL,AVAX,2.4372,1.6921,0.127
SOL,AXS,9.4382,10.3846,0.0073
SOL,BTC,0.0016,0.001,1.0
SOL,DOT,9.5223,10.716,0.1204
SOL,ETH,0.0287,0.0188,1.0
SOL,FTM,135.8761,81.3558,0.0
SOL,LTC,0.8503,0.7484,0.6825
SOL,MATIC,85.8872,76.124,0.0
SOL,SAND,152.1065,169.9763,0.0
SOL,UNI,8.2586,6.7495,0.1183
SOL,XLM,512.0161,493.8627,0.0
UNI,AAVE,0.0722,0.0167,1.0
UNI,ADA,16.6503,5.4416,0.0
UNI,AVAX,0.4691,0.3741,0.8882
UNI,AXS,2.0116,3.2111,0.6041
UNI,BTC,0.0003,0.0002,1.0
UNI,DOT,1.0139,0.3616,0.5186
UNI,ETH,0.0049,0.0031,1.0
UNI,FTM,37.0616,50.4212,0.0
UNI,LTC,0.0994,0.0315,1.0
UNI,MATIC,33.2508,66.2535,0.0
UNI,SAND,27.2926,31.3824,0.0
UNI,SOL,0.4184,0.6615,0.8817
UNI,XLM,59.0687,18.1638,0.0
XLM,AAVE,0.0013,0.0004,1.0
XLM,ADA,0.3175,0.1891,0.9797
XLM,AVAX,0.0092,0.0095,1.0
XLM,AXS,0.0452,0.0907,1.0
XLM,BTC,0.0,0.0,1.0
XLM,DOT,0.0188,0.0104,1.0
XLM,ETH,0.0001,0.0001,1.0
XLM,FTM,0.8905,1.8875,0.8388
XLM,LTC,0.0018,0.0006,1.0
XLM,MATIC,0.8535,2.0886,0.8697
XLM,SAND,0.5856,0.9701,0.8688
XLM,SOL,0.0098,0.0206,1.0
XLM,UNI,0.0191,0.0078,1.0
